case,date,season,age,overall,hasTourCard,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age12-104729,2049-06-30,2049/50,35,91,True,92.84,96.42,98.57,97.22,87.75,96.63,97.78,93.87,87.71,62.87,79.3,71.15,74.36,75.25,72.94
age12-104729,2050-06-30,2050/51,36,91,False,92.84,96.42,98.57,97.22,87.75,96.63,97.78,93.87,87.71,62.87,79.3,71.15,74.36,75.25,72.94
age12-104729,2051-06-30,2051/52,37,91,True,92.84,96.42,98.57,97.22,87.75,96.63,97.78,93.87,87.71,62.87,79.3,71.15,74.36,75.25,72.94
age12-104729,2052-06-30,2052/53,38,91,True,92.84,96.42,98.57,97.22,87.75,96.63,97.78,93.87,87.71,62.87,79.3,71.15,74.36,75.25,72.94
age12-104729,2053-06-30,2053/54,39,91,False,92.84,96.42,98.57,97.22,87.75,96.63,97.78,93.87,87.71,62.87,79.3,71.15,74.36,75.25,72.94
age12-104729,2054-06-30,2054/55,40,91,False,92.84,96.42,98.57,97.22,87.75,96.63,97.78,93.87,87.71,62.87,79.3,71.15,74.36,75.25,72.94
age12-104729,2055-06-30,2055/56,41,91,False,92.13,95.65,97.76,96.79,87.39,96.63,97.78,93.87,87.71,62.87,77.99,70.47,73.21,74.48,71.83
age12-104729,2056-06-30,2056/57,42,90,False,91.25,94.71,96.77,96.26,86.96,96.63,97.78,93.87,87.71,62.87,76.42,69.63,71.83,73.55,70.5
age12-104729,2057-06-30,2057/58,43,89,False,90.21,93.59,95.6,95.62,86.44,96.63,97.78,93.87,87.71,62.87,74.6,68.65,70.22,72.45,68.95
age12-104729,2058-06-30,2058/59,44,88,True,89.01,92.29,94.25,94.88,85.83,96.63,97.78,93.87,87.71,62.87,72.54,67.51,68.39,71.19,67.19
age12-104729,2059-06-30,2059/60,45,88,True,87.63,90.81,92.71,94.02,85.13,96.63,97.78,93.87,87.71,62.87,70.26,66.23,66.37,69.76,65.23
age12-104729,2060-06-30,2060/61,46,87,True,86.09,89.15,90.98,93.04,84.33,96.63,97.78,93.87,87.71,62.87,67.78,64.8,64.15,68.17,63.09
age12-104729,2061-06-30,2061/62,47,85,False,84.39,87.33,89.08,91.95,83.43,96.56,97.7,93.85,87.71,62.86,65.14,63.23,61.79,66.44,60.81
age12-104729,2062-06-30,2062/63,48,84,False,82.53,85.34,87.01,90.74,82.43,96.39,97.54,93.79,87.71,62.83,62.38,61.54,59.31,64.57,58.4
age12-104729,2063-06-30,2063/64,49,83,False,80.53,83.2,84.79,89.4,81.33,96.12,97.26,93.68,87.71,62.78,59.52,59.73,56.72,62.58,55.89
age12-104729,2064-06-30,2064/65,50,81,False,78.38,80.91,82.4,87.95,80.13,95.71,96.84,93.53,87.71,62.71,56.58,57.81,54.05,60.47,53.3
age12-104729,2065-06-30,2065/66,51,80,False,76.08,78.46,79.87,86.36,78.81,95.14,96.25,93.31,87.71,62.61,53.59,55.78,51.32,58.25,50.65
age12-104729,2066-06-30,2066/67,52,78,False,73.66,75.88,77.19,84.64,77.38,94.38,95.48,93.02,87.71,62.48,50.58,53.66,48.56,55.94,47.96
age12-104729,2067-06-30,2067/68,53,76,False,71.1,73.17,74.39,82.79,75.83,93.4,94.48,92.64,87.71,62.31,47.57,51.46,45.79,53.55,45.26
age12-104729,2068-06-30,2068/69,54,74,False,68.43,70.34,71.47,80.79,74.16,92.18,93.22,92.15,87.71,62.09,44.58,49.18,43.02,51.08,42.55
age12-104729,2069-06-30,2069/70,55,73,False,65.65,67.41,68.44,78.66,72.36,90.66,91.67,91.55,87.71,61.82,41.63,46.85,40.27,48.57,39.86
age12-104729,2070-06-30,2070/71,56,71,False,62.78,64.38,65.31,76.39,70.44,88.84,89.8,90.8,87.71,61.48,38.74,44.47,37.57,46.01,37.22
age12-104729,2071-06-30,2071/72,57,68,False,59.77,61.22,62.06,73.95,68.36,86.83,87.75,89.97,87.71,61.09,35.88,42.02,34.88,43.39,34.57
age12-104729,2072-06-30,2072/73,58,67,False,57.1,58.43,59.31,72.06,66.51,85.03,85.89,89.28,87.95,60.98,33.36,39.68,32.35,40.88,32.16
age12-104729,2073-06-30,2073/74,59,64,False,54.32,55.52,56.41,69.91,64.49,83.09,83.89,88.52,88.19,60.82,30.88,37.3,29.87,38.36,29.77
age12-104729,2074-06-30,2074/75,60,62,False,51.43,52.46,53.32,67.39,62.27,80.88,81.65,87.58,88.38,60.52,28.48,34.9,27.47,35.81,27.46
age12-104729,2075-06-30,2075/76,61,60,False,48.46,49.37,50.19,64.78,59.89,78.56,79.29,86.55,88.6,60.19,26.11,32.48,25.13,33.27,25.18
age12-104729,2076-06-30,2076/77,62,58,False,45.45,46.26,47.07,62.07,57.38,76.11,76.8,85.43,88.82,59.79,23.88,30.11,22.93,30.79,23.03
age12-104729,2077-06-30,2077/78,63,56,False,42.5,43.19,43.97,59.17,54.79,73.47,74.14,84.17,89.02,59.29,21.82,27.85,20.89,28.42,21.04
age12-104729,2078-06-30,2078/79,64,54,False,39.64,40.23,40.96,56.21,52.15,70.67,71.33,82.8,89.21,58.72,19.91,25.7,19.01,26.18,19.19
age12-104729,2079-06-30,2079/80,65,51,False,36.87,37.39,38.08,53.29,49.47,67.79,68.41,81.34,89.41,58.08,18.14,23.64,17.26,24.05,17.47
age12-130363,2026-05-11,2026/27,12,47,False,41,52,51,34,40,44,48,41,40,25,41,52,60,55,49
age12-130363,2027-06-30,2027/28,13,50,False,44.71,56.11,55.98,39.85,43.06,48.72,52.81,45.11,43.11,27.57,43.19,53.1,60.82,56.26,50.37
age12-130363,2028-06-30,2028/29,14,53,False,47.88,59.36,60.21,44.49,45.82,52.7,57.07,48.6,45.88,29.65,45.45,54.23,61.67,57.35,51.78
age12-130363,2029-06-30,2029/30,15,56,False,51.59,63.02,64.5,48.77,48.76,56.4,61.1,51.86,48.42,31.68,47.6,55.3,62.48,58.6,53.13
age12-130363,2030-06-30,2030/31,16,59,False,54.81,66.39,68.91,53.87,51.49,60.26,65.06,55.15,51.0,33.72,49.7,56.35,63.26,59.71,54.44
age12-130363,2031-06-30,2031/32,17,62,False,57.73,69.46,72.77,58.35,53.94,64.03,68.93,58.44,53.52,35.73,51.64,57.32,63.99,60.7,55.65
age12-130363,2032-06-30,2032/33,18,66,False,61.99,73.77,77.97,63.81,57.4,68.64,73.84,62.49,56.81,38.16,54.56,58.78,65.09,62.14,57.48
age12-130363,2033-06-30,2033/34,19,70,False,65.9,78.23,83.11,69.67,60.8,73.78,79.34,67.03,60.51,40.83,56.96,59.98,65.98,63.47,58.97
age12-130363,2034-06-30,2034/35,20,73,False,69.77,82.25,87.07,75.9,64.14,78.91,84.08,71.52,64.12,43.55,59.31,61.16,66.87,64.8,60.45
age12-130363,2035-06-30,2035/36,21,77,False,73.65,85.4,89.99,81.6,67.48,83.51,87.71,75.85,67.39,46.19,61.81,62.41,67.81,66.16,62.01
age12-130363,2036-06-30,2036/37,22,80,False,78.01,88.2,92.33,86.07,71.04,86.99,90.47,80.0,70.67,48.68,64.95,63.97,68.98,67.64,63.97
age12-130363,2037-06-30,2037/38,23,81,True,80.21,89.51,93.29,87.84,72.82,88.53,91.68,82.13,72.42,50.02,66.25,64.62,69.47,68.38,64.78
age12-130363,2038-06-30,2038/39,24,82,True,82.16,90.62,94.15,89.61,74.59,89.95,92.74,84.09,74.28,51.43,67.5,65.25,69.94,69.09,65.56
age12-130363,2039-06-30,2039/40,25,84,False,83.81,91.48,94.88,91.07,76.3,91.2,93.69,85.86,76.16,52.77,68.94,65.97,70.48,69.76,66.47
age12-130363,2040-06-30,2040/41,26,85,True,85.36,92.32,95.53,92.33,78.02,92.17,94.42,87.2,77.8,53.98,70.37,66.69,71.01,70.45,67.36
age12-130363,2041-06-30,2041/42,27,86,True,86.6,93.01,95.99,93.14,79.43,92.87,94.95,88.2,79.11,54.98,71.43,67.21,71.41,71.04,68.02
age12-130363,2042-06-30,2042/43,28,86,False,87.61,93.6,96.39,93.92,80.77,93.57,95.47,89.24,80.56,56.08,72.41,67.7,71.78,71.58,68.63
age12-130363,2043-06-30,2043/44,29,87,True,88.67,94.15,96.78,94.6,82.14,94.22,95.95,90.2,81.95,57.19,73.64,68.32,72.24,72.19,69.4
age12-130363,2044-06-30,2044/45,30,88,True,89.69,94.71,97.11,95.16,83.4,94.75,96.36,91.0,83.09,58.24,74.76,68.88,72.66,72.81,70.1
age12-130363,2045-06-30,2045/46,31,89,False,90.52,95.17,97.46,95.76,84.55,95.25,96.71,91.75,84.28,59.3,75.86,69.43,73.07,73.39,70.79
age12-130363,2046-06-30,2046/47,32,89,True,91.32,95.6,97.8,96.28,85.64,95.75,97.08,92.52,85.38,60.48,76.98,69.99,73.49,73.99,71.49
age12-130363,2047-06-30,2047/48,33,90,True,91.9,95.88,98.06,96.59,86.45,96.07,97.33,93.01,86.17,61.28,77.99,70.49,73.87,74.46,72.12
age12-130363,2048-06-30,2048/49,34,90,False,92.48,96.19,98.31,96.86,87.22,96.36,97.58,93.47,86.91,62.08,78.84,70.92,74.19,74.95,72.65
age12-130363,2049-06-30,2049/50,35,91,True,92.94,96.45,98.6,97.21,87.91,96.66,97.84,93.94,87.63,63.0,79.7,71.35,74.51,75.39,73.19
age12-130363,2050-06-30,2050/51,36,91,True,92.94,96.45,98.6,97.21,87.91,96.66,97.84,93.94,87.63,63.0,79.7,71.35,74.51,75.39,73.19
age12-130363,2051-06-30,2051/52,37,91,True,92.94,96.45,98.6,97.21,87.91,96.66,97.84,93.94,87.63,63.0,79.7,71.35,74.51,75.39,73.19
age12-130363,2052-06-30,2052/53,38,91,True,92.94,96.45,98.6,97.21,87.91,96.66,97.84,93.94,87.63,63.0,79.7,71.35,74.51,75.39,73.19
age12-130363,2053-06-30,2053/54,39,91,True,92.94,96.45,98.6,97.21,87.91,96.66,97.84,93.94,87.63,63.0,79.7,71.35,74.51,75.39,73.19
age12-130363,2054-06-30,2054/55,40,91,False,92.94,96.45,98.6,97.21,87.91,96.66,97.84,93.94,87.63,63.0,79.7,71.35,74.51,75.39,73.19
age12-130363,2055-06-30,2055/56,41,91,False,92.13,95.58,97.68,96.72,87.51,96.66,97.84,93.94,87.63,63.0,78.21,70.57,73.21,74.52,71.93
age12-130363,2056-06-30,2056/57,42,90,False,91.13,94.51,96.56,96.11,87.01,96.66,97.84,93.94,87.63,63.0,76.41,69.62,71.63,73.46,70.41
age12-130363,2057-06-30,2057/58,43,89,True,89.95,93.23,95.23,95.39,86.42,96.66,97.84,93.94,87.63,63.0,74.34,68.5,69.81,72.22,68.65
age12-130363,2058-06-30,2058/59,44,88,True,88.58,91.76,93.7,94.54,85.73,96.66,97.84,93.94,87.63,63.0,72.0,67.21,67.75,70.78,66.65
age12-130363,2059-06-30,2059/60,45,87,False,87.02,90.08,91.95,93.56,84.92,96.66,97.84,93.94,87.63,63.0,69.41,65.75,65.46,69.16,64.44
age12-130363,2060-06-30,2060/61,46,86,True,85.26,88.2,89.98,92.44,84.0,96.66,97.84,93.94,87.63,63.0,66.61,64.11,62.97,67.35,62.03
age12-130363,2061-06-30,2061/62,47,85,True,83.32,86.12,87.82,91.19,82.96,96.57,97.75,93.9,87.63,62.99,63.65,62.33,60.32,65.38,59.46
age12-130363,2062-06-30,2062/63,48,83,False,81.2,83.86,85.47,89.8,81.81,96.39,97.56,93.83,87.63,62.96,60.57,60.41,57.55,63.27,56.77
age12-130363,2063-06-30,2063/64,49,82,True,78.91,81.42,82.94,88.26,80.53,96.06,97.23,93.71,87.63,62.9,57.39,58.35,54.68,61.01,53.97
age12-130363,2064-06-30,2064/65,50,80,True,76.46,78.81,80.23,86.57,79.13,95.58,96.73,93.53,87.63,62.82,54.14,56.17,51.73,58.63,51.1
age12-130363,2065-06-30,2065/66,51,79,False,73.85,76.03,77.35,84.73,77.59,94.9,96.04,93.26,87.63,62.7,50.87,53.88,48.74,56.13,48.18
age12-130363,2066-06-30,2066/67,52,76,False,71.08,73.1,74.32,82.73,75.91,93.98,95.1,92.91,87.63,62.54,47.59,51.49,45.73,53.54,45.24
age12-130363,2067-06-30,2067/68,53,75,False,68.18,70.03,71.15,80.57,74.09,92.8,93.89,92.45,87.63,62.33,44.34,49.01,42.73,50.86,42.3
age12-130363,2068-06-30,2068/69,54,72,False,65.15,66.84,67.85,78.24,72.12,91.31,92.36,91.86,87.63,62.06,41.14,46.47,39.76,48.12,39.39
age12-130363,2069-06-30,2069/70,55,71,False,62.44,63.98,64.95,76.29,70.36,89.68,90.68,91.29,87.84,61.99,38.27,44.03,36.95,45.5,36.7
age12-130363,2070-06-30,2070/71,56,68,False,59.2,60.58,61.45,73.63,68.1,87.45,88.4,90.37,87.84,61.56,35.23,41.41,34.11,42.7,33.9
age12-130363,2071-06-30,2071/72,57,66,False,56.35,57.6,58.45,71.45,66.07,85.37,86.26,89.57,88.07,61.4,32.54,38.9,31.45,40.04,31.33
age12-130363,2072-06-30,2072/73,58,64,False,53.29,54.42,55.27,69.06,63.81,83.11,83.94,88.65,88.3,61.16,29.9,36.34,28.84,37.33,28.81
age12-130363,2073-06-30,2073/74,59,62,False,50.12,51.11,51.94,66.35,61.34,80.64,81.41,87.6,88.52,60.82,27.32,33.76,26.31,34.61,26.35
age12-130363,2074-06-30,2074/75,60,59,False,46.84,47.68,48.48,63.34,58.65,77.89,78.61,86.35,88.7,60.36,24.86,31.19,23.88,31.89,23.98
age12-130363,2075-06-30,2075/76,61,57,False,43.53,44.26,44.98,60.15,55.78,74.93,75.62,84.96,88.91,59.82,22.45,28.6,21.52,29.21,21.66
age12-130363,2076-06-30,2076/77,62,54,False,40.18,40.82,41.53,56.91,52.76,71.79,72.41,83.43,89.14,59.2,20.2,26.1,19.33,26.6,19.5
age12-130363,2077-06-30,2077/78,63,51,False,36.92,37.46,38.13,53.45,49.64,68.4,68.99,81.71,89.34,58.43,18.14,23.73,17.31,24.13,17.5
age12-130363,2078-06-30,2078/79,64,49,False,33.8,34.25,34.88,49.98,46.49,64.86,65.41,79.83,89.54,57.54,16.26,21.49,15.46,21.82,15.68
age12-130363,2079-06-30,2079/80,65,46,False,30.79,31.16,31.74,46.44,43.28,61.16,61.66,77.75,89.74,56.52,14.51,19.36,13.76,19.64,13.98
age15-104729,2026-05-11,2026/27,15,63,False,56,67,66,49,55,61,65,58,63,50,56,64,72,67,61
age15-104729,2027-06-30,2027/28,16,66,False,59.59,71.14,70.92,54.88,58.0,65.82,69.83,62.21,66.34,52.56,58.02,65.01,72.76,68.21,62.26
age15-104729,2028-06-30,2028/29,17,70,False,62.75,74.36,75.18,59.47,60.77,69.7,74.02,65.61,69.13,54.57,60.23,66.12,73.59,69.3,63.64
age15-104729,2029-06-30,2029/30,18,73,False,67.23,78.84,80.6,65.14,64.4,74.57,79.22,69.88,72.43,57.17,62.82,67.41,74.56,70.82,65.26
age15-104729,2030-06-30,2030/31,19,76,False,70.49,82.07,84.6,70.52,67.29,78.91,83.36,73.64,75.4,59.46,65.16,68.58,75.44,71.96,66.73
age15-104729,2031-06-30,2031/32,20,79,True,74.08,85.0,87.59,75.0,70.22,82.84,86.65,77.33,78.29,61.65,67.52,69.76,76.32,73.18,68.2
age15-104729,2032-06-30,2032/33,21,81,True,76.58,86.73,89.33,77.92,72.27,84.8,88.35,79.44,80.02,62.92,69.49,70.74,77.06,74.03,69.43
age15-104729,2033-06-30,2033/34,22,83,False,78.96,88.28,90.76,80.91,74.18,86.64,89.84,81.63,81.8,64.3,70.86,71.43,77.57,74.82,70.29
age15-104729,2034-06-30,2034/35,23,84,True,81.04,89.49,92.0,83.93,76.0,88.4,91.2,83.77,83.47,65.8,72.28,72.14,78.1,75.55,71.17
age15-104729,2035-06-30,2035/36,24,86,True,82.44,90.28,92.77,85.65,77.32,89.47,92.04,85.1,84.54,66.82,73.36,72.68,78.51,76.08,71.85
age15-104729,2036-06-30,2036/37,25,87,False,83.97,91.15,93.53,87.13,78.81,90.42,92.83,86.29,85.55,67.83,74.59,73.29,78.97,76.7,72.62
age15-104729,2037-06-30,2037/38,26,88,True,85.36,91.99,94.23,88.63,80.28,91.37,93.58,87.49,86.55,68.95,75.64,73.82,79.36,77.31,73.27
age15-104729,2038-06-30,2038/39,27,88,True,86.51,92.66,94.82,89.94,81.59,92.23,94.23,88.59,87.49,70.07,76.64,74.32,79.74,77.87,73.9
age15-104729,2039-06-30,2039/40,28,89,False,87.47,93.18,95.32,91.05,82.76,92.96,94.8,89.55,88.35,71.07,77.79,74.89,80.17,78.38,74.62
age15-104729,2040-06-30,2040/41,29,90,True,88.41,93.69,95.76,91.94,83.85,93.56,95.27,90.32,89.05,72.0,78.79,75.39,80.54,78.91,75.24
age15-104729,2041-06-30,2041/42,30,90,True,89.18,94.15,96.12,92.68,84.74,94.05,95.65,90.97,89.64,72.85,79.6,75.8,80.83,79.37,75.75
age15-104729,2042-06-30,2042/43,31,91,True,89.82,94.54,96.43,93.34,85.51,94.51,96.0,91.6,90.21,73.7,80.35,76.18,81.1,79.79,76.22
age15-104729,2043-06-30,2043/44,32,91,True,90.42,94.88,96.71,93.95,86.26,94.93,96.32,92.16,90.72,74.55,81.21,76.62,81.42,80.21,76.78
age15-104729,2044-06-30,2044/45,33,92,True,91.07,95.24,96.96,94.4,86.98,95.26,96.58,92.61,91.15,75.29,81.98,77.04,81.7,80.66,77.3
age15-104729,2045-06-30,2045/46,34,92,True,91.61,95.56,97.22,94.9,87.65,95.6,96.83,93.07,91.61,76.06,82.68,77.44,81.98,81.08,77.8
age15-104729,2046-06-30,2046/47,35,93,True,92.08,95.83,97.45,95.34,88.26,95.94,97.08,93.55,92.08,76.91,83.28,77.79,82.21,81.45,78.24
age15-104729,2047-06-30,2047/48,36,93,True,92.08,95.83,97.45,95.34,88.26,95.94,97.08,93.55,92.08,76.91,83.28,77.79,82.21,81.45,78.24
age15-104729,2048-06-30,2048/49,37,93,True,92.08,95.83,97.45,95.34,88.26,95.94,97.08,93.55,92.08,76.91,83.28,77.79,82.21,81.45,78.24
age15-104729,2049-06-30,2049/50,38,93,True,92.08,95.83,97.45,95.34,88.26,95.94,97.08,93.55,92.08,76.91,83.28,77.79,82.21,81.45,78.24
age15-104729,2050-06-30,2050/51,39,93,True,92.08,95.83,97.45,95.34,88.26,95.94,97.08,93.55,92.08,76.91,83.28,77.79,82.21,81.45,78.24
age15-104729,2051-06-30,2051/52,40,93,True,92.08,95.83,97.45,95.34,88.26,95.94,97.08,93.55,92.08,76.91,83.28,77.79,82.21,81.45,78.24
age15-104729,2052-06-30,2052/53,41,92,True,91.42,95.11,96.7,94.95,87.92,95.94,97.08,93.55,92.08,76.91,81.92,77.02,80.88,80.6,77.04
age15-104729,2053-06-30,2053/54,42,92,True,90.6,94.22,95.79,94.47,87.5,95.94,97.08,93.55,92.08,76.91,80.28,76.08,79.29,79.57,75.59
age15-104729,2054-06-30,2054/55,43,91,True,89.63,93.17,94.71,93.89,87.01,95.94,97.08,93.55,92.08,76.91,78.38,74.97,77.43,78.35,73.9
age15-104729,2055-06-30,2055/56,44,90,True,88.5,91.96,93.45,93.21,86.42,95.94,97.08,93.55,92.08,76.91,76.23,73.69,75.33,76.96,71.99
age15-104729,2056-06-30,2056/57,45,90,False,87.22,90.57,92.02,92.42,85.75,95.94,97.08,93.55,92.08,76.91,73.84,72.24,73.0,75.38,69.86
age15-104729,2057-06-30,2057/58,46,88,False,85.77,89.01,90.4,91.53,84.98,95.94,97.08,93.55,92.08,76.91,71.25,70.62,70.46,73.62,67.54
age15-104729,2058-06-30,2058/59,47,87,False,84.17,87.28,88.63,90.53,84.11,95.87,97.02,93.52,92.08,76.89,68.49,68.86,67.77,71.7,65.06
age15-104729,2059-06-30,2059/60,48,86,False,82.42,85.4,86.69,89.41,83.15,95.72,96.86,93.47,92.08,76.85,65.59,66.96,64.93,69.64,62.44
age15-104729,2060-06-30,2060/61,49,85,False,80.52,83.36,84.59,88.19,82.09,95.47,96.6,93.37,92.08,76.78,62.59,64.92,61.99,67.44,59.72
age15-104729,2061-06-30,2061/62,50,84,False,78.48,81.17,82.33,86.84,80.92,95.08,96.21,93.22,92.08,76.68,59.5,62.76,58.96,65.11,56.91
age15-104729,2062-06-30,2062/63,51,82,False,76.29,78.84,79.93,85.37,79.64,94.55,95.66,93.02,92.08,76.55,56.36,60.49,55.87,62.66,54.04
age15-104729,2063-06-30,2063/64,52,80,False,73.97,76.36,77.38,83.77,78.25,93.84,94.93,92.74,92.08,76.36,53.19,58.12,52.76,60.12,51.12
age15-104729,2064-06-30,2064/65,53,78,False,71.52,73.74,74.7,82.04,76.74,92.92,93.99,92.38,92.08,76.11,50.02,55.66,49.64,57.49,48.2
age15-104729,2065-06-30,2065/66,54,76,False,68.94,71.01,71.89,80.17,75.11,91.76,92.8,91.92,92.08,75.8,46.87,53.13,46.54,54.78,45.27
age15-104729,2066-06-30,2066/67,55,74,False,66.26,68.15,68.96,78.17,73.36,90.33,91.34,91.35,92.08,75.41,43.77,50.53,43.48,52.02,42.38
age15-104729,2067-06-30,2067/68,56,72,False,63.47,65.2,65.94,76.04,71.48,88.6,89.57,90.64,92.08,74.93,40.72,47.89,40.47,49.23,39.52
age15-104729,2068-06-30,2068/69,57,70,False,60.54,62.11,62.78,73.73,69.43,86.7,87.63,89.85,92.08,74.39,37.71,45.19,37.5,46.37,36.68
age15-104729,2069-06-30,2069/70,58,68,False,57.48,58.89,59.49,71.23,67.22,84.61,85.49,88.95,92.08,73.77,34.74,42.42,34.56,43.45,33.88
age15-104729,2070-06-30,2070/71,59,66,False,54.78,56.05,56.69,69.23,65.24,82.75,83.58,88.21,92.22,73.38,32.16,39.79,31.84,40.68,31.33
age15-104729,2071-06-30,2071/72,60,64,False,52.02,53.17,53.81,67.04,63.11,80.75,81.54,87.38,92.38,72.92,29.63,37.15,29.2,37.93,28.84
age15-104729,2072-06-30,2072/73,61,62,False,49.06,50.1,50.78,64.68,60.76,78.59,79.32,86.43,92.53,72.35,27.16,34.5,26.65,35.17,26.42
age15-104729,2073-06-30,2073/74,62,60,False,46.12,47.03,47.72,62.11,58.29,76.29,76.99,85.39,92.68,71.7,24.83,31.92,24.26,32.5,24.14
age15-104729,2074-06-30,2074/75,63,57,False,43.24,44.01,44.69,59.36,55.74,73.76,74.45,84.21,92.81,70.91,22.71,29.49,22.08,29.97,22.05
age15-104729,2075-06-30,2075/76,64,55,False,40.47,41.15,41.79,56.61,53.17,71.15,71.81,82.95,92.95,70.05,20.73,27.17,20.06,27.6,20.1
age15-104729,2076-06-30,2076/77,65,53,False,37.68,38.29,38.94,53.85,50.5,68.41,69.03,81.58,93.09,69.09,18.89,24.97,18.2,25.33,18.29
age15-130363,2026-05-11,2026/27,15,63,False,56,67,66,49,55,61,65,58,63,50,56,64,72,67,61
age15-130363,2027-06-30,2027/28,16,66,False,59.57,71.09,70.85,54.75,57.98,65.81,69.85,62.22,66.36,52.54,58.0,65.0,72.75,68.2,62.25
age15-130363,2028-06-30,2028/29,17,69,False,62.71,74.3,75.06,59.29,60.73,69.66,74.02,65.59,69.13,54.53,60.21,66.1,73.58,69.28,63.63
age15-130363,2029-06-30,2029/30,18,73,False,67.2,78.76,80.47,64.89,64.34,74.42,79.08,69.74,72.35,57.07,62.79,67.4,74.55,70.8,65.25
age15-130363,2030-06-30,2030/31,19,76,True,70.93,82.44,84.71,70.26,67.47,78.8,83.36,73.55,75.37,59.4,65.2,68.6,75.45,72.08,66.75
age15-130363,2031-06-30,2031/32,20,79,True,74.19,85.16,87.65,74.99,70.32,83.03,86.88,77.57,78.49,61.77,67.21,69.61,76.2,73.2,68.01
