case,date,season,age,overall,hasTourCard,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age12-104729,2049-06-30,2049/50,35,91,False,92.9,96.41,98.46,97.02,87.64,96.51,97.71,93.73,87.46,62.51,79.23,71.12,74.34,75.26,72.9
age12-104729,2050-06-30,2050/51,36,91,True,92.9,96.41,98.46,97.02,87.64,96.51,97.71,93.73,87.46,62.51,79.23,71.12,74.34,75.26,72.9
age12-104729,2051-06-30,2051/52,37,91,True,92.9,96.41,98.46,97.02,87.64,96.51,97.71,93.73,87.46,62.51,79.23,71.12,74.34,75.26,72.9
age12-104729,2052-06-30,2052/53,38,91,False,92.9,96.41,98.46,97.02,87.64,96.51,97.71,93.73,87.46,62.51,79.23,71.12,74.34,75.26,72.9
age12-104729,2053-06-30,2053/54,39,91,True,92.9,96.41,98.46,97.02,87.64,96.51,97.71,93.73,87.46,62.51,79.23,71.12,74.34,75.26,72.9
age12-104729,2054-06-30,2054/55,40,91,True,92.9,96.41,98.46,97.02,87.64,96.51,97.71,93.73,87.46,62.51,79.23,71.12,74.34,75.26,72.9
age12-104729,2055-06-30,2055/56,41,91,False,92.18,95.63,97.66,96.59,87.29,96.51,97.71,93.73,87.46,62.51,77.93,70.43,73.19,74.5,71.79
age12-104729,2056-06-30,2056/57,42,90,False,91.3,94.69,96.67,96.06,86.86,96.51,97.71,93.73,87.46,62.51,76.36,69.6,71.8,73.56,70.46
age12-104729,2057-06-30,2057/58,43,89,False,90.26,93.57,95.5,95.42,86.34,96.51,97.71,93.73,87.46,62.51,74.54,68.62,70.19,72.46,68.91
age12-104729,2058-06-30,2058/59,44,88,False,89.05,92.27,94.15,94.68,85.73,96.51,97.71,93.73,87.46,62.51,72.48,67.48,68.37,71.2,67.15
age12-104729,2059-06-30,2059/60,45,88,False,87.68,90.79,92.61,93.82,85.03,96.51,97.71,93.73,87.46,62.51,70.2,66.2,66.34,69.77,65.19
age12-104729,2060-06-30,2060/61,46,87,False,86.13,89.13,90.88,92.85,84.23,96.51,97.71,93.73,87.46,62.51,67.72,64.76,64.12,68.18,63.05
age12-104729,2061-06-30,2061/62,47,85,False,84.42,87.31,88.99,91.76,83.33,96.44,97.64,93.71,87.46,62.5,65.08,63.2,61.76,66.44,60.77
age12-104729,2062-06-30,2062/63,48,84,False,82.56,85.32,86.92,90.55,82.34,96.28,97.47,93.64,87.46,62.47,62.32,61.51,59.27,64.57,58.36
age12-104729,2063-06-30,2063/64,49,83,True,80.56,83.18,84.7,89.22,81.24,96.01,97.19,93.54,87.46,62.43,59.46,59.69,56.69,62.57,55.85
age12-104729,2064-06-30,2064/65,50,81,True,78.4,80.88,82.31,87.77,80.03,95.6,96.77,93.39,87.46,62.36,56.52,57.77,54.02,60.46,53.26
age12-104729,2065-06-30,2065/66,51,80,False,76.1,78.43,79.78,86.19,78.72,95.03,96.19,93.17,87.46,62.26,53.54,55.74,51.29,58.24,50.61
age12-104729,2066-06-30,2066/67,52,78,False,73.67,75.85,77.11,84.47,77.28,94.27,95.41,92.88,87.46,62.13,50.53,53.62,48.53,55.93,47.92
age12-104729,2067-06-30,2067/68,53,76,False,71.11,73.14,74.31,82.62,75.74,93.29,94.41,92.5,87.46,61.96,47.52,51.42,45.75,53.53,45.22
age12-104729,2068-06-30,2068/69,54,74,False,68.44,70.31,71.38,80.63,74.07,92.07,93.15,92.01,87.46,61.74,44.53,49.15,42.98,51.07,42.51
age12-104729,2069-06-30,2069/70,55,72,False,65.65,67.37,68.35,78.51,72.27,90.55,91.6,91.41,87.46,61.47,41.59,46.81,40.24,48.55,39.82
age12-104729,2070-06-30,2070/71,56,71,False,62.77,64.34,65.23,76.24,70.35,88.73,89.74,90.67,87.46,61.13,38.7,44.43,37.53,45.99,37.18
age12-104729,2071-06-30,2071/72,57,68,False,59.76,61.17,61.98,73.8,68.27,86.72,87.68,89.83,87.46,60.75,35.84,41.98,34.84,43.36,34.53
age12-104729,2072-06-30,2072/73,58,67,False,57.08,58.38,59.24,71.93,66.42,84.93,85.82,89.15,87.71,60.64,33.31,39.64,32.31,40.86,32.12
age12-104729,2073-06-30,2073/74,59,64,False,54.3,55.47,56.32,69.76,64.4,82.97,83.81,88.38,87.95,60.48,30.83,37.25,29.83,38.33,29.73
age12-104729,2074-06-30,2074/75,60,62,False,51.42,52.44,53.29,67.34,62.21,80.82,81.61,87.47,88.16,60.21,28.45,34.87,27.44,35.79,27.43
age12-104729,2075-06-30,2075/76,61,60,False,48.44,49.35,50.16,64.72,59.83,78.5,79.24,86.45,88.38,59.88,26.07,32.44,25.1,33.24,25.15
age12-104729,2076-06-30,2076/77,62,58,False,45.42,46.22,47.02,61.99,57.31,76.01,76.72,85.3,88.59,59.47,23.84,30.08,22.9,30.76,23.0
age12-104729,2077-06-30,2077/78,63,56,False,42.48,43.16,43.92,59.1,54.72,73.39,74.08,84.07,88.8,59.0,21.78,27.82,20.86,28.4,21.01
age12-104729,2078-06-30,2078/79,64,53,False,39.62,40.2,40.92,56.14,52.09,70.59,71.27,82.7,89.0,58.43,19.88,25.66,18.98,26.15,19.16
age12-104729,2079-06-30,2079/80,65,51,False,36.84,37.35,38.04,53.22,49.4,67.71,68.34,81.24,89.2,57.79,18.11,23.6,17.23,24.03,17.44
age12-130363,2026-05-11,2026/27,12,47,False,41,52,51,34,40,44,48,41,40,25,41,52,60,55,49
age12-130363,2027-06-30,2027/28,13,50,False,44.71,56.11,55.98,39.85,43.06,48.72,52.81,45.11,43.11,27.57,43.19,53.1,60.82,56.26,50.37
age12-130363,2028-06-30,2028/29,14,53,False,47.79,59.26,60.19,44.52,45.79,52.65,57.02,48.54,45.85,29.62,45.44,54.22,61.67,57.33,51.78
age12-130363,2029-06-30,2029/30,15,56,False,51.47,62.88,64.52,48.94,48.72,56.5,61.16,51.94,48.47,31.69,47.54,55.27,62.45,58.57,53.09
age12-130363,2030-06-30,2030/31,16,59,False,54.72,66.48,69.08,54.36,51.46,60.49,65.2,55.33,51.1,33.84,49.66,56.33,63.25,59.69,54.41
age12-130363,2031-06-30,2031/32,17,63,False,57.9,69.81,73.17,59.09,54.07,64.53,69.35,58.87,53.81,36.0,51.64,57.32,63.99,60.76,55.65
age12-130363,2032-06-30,2032/33,18,66,False,62.23,74.18,78.41,64.59,57.54,69.17,74.29,62.95,57.1,38.45,54.56,58.78,65.09,62.21,57.48
age12-130363,2033-06-30,2033/34,19,70,False,66.14,78.64,83.5,70.5,60.96,74.3,79.76,67.46,60.79,41.11,56.96,59.98,65.99,63.54,58.98
age12-130363,2034-06-30,2034/35,20,74,False,70.0,82.62,87.35,76.73,64.27,79.44,84.41,71.96,64.4,43.83,59.32,61.16,66.87,64.86,60.45
age12-130363,2035-06-30,2035/36,21,77,False,73.93,85.75,90.3,82.58,67.68,84.07,88.04,76.41,67.78,46.56,61.84,62.42,67.82,66.24,62.03
age12-130363,2036-06-30,2036/37,22,80,False,78.16,88.47,92.45,86.38,71.1,87.28,90.67,80.4,70.92,48.91,64.76,63.88,68.91,67.67,63.85
age12-130363,2037-06-30,2037/38,23,81,False,80.1,89.62,93.34,88.13,72.74,88.76,91.81,82.45,72.64,50.21,65.99,64.5,69.37,68.33,64.62
age12-130363,2038-06-30,2038/39,24,82,False,81.95,90.63,94.13,89.68,74.36,90.01,92.77,84.18,74.34,51.44,67.32,65.16,69.87,68.99,65.45
age12-130363,2039-06-30,2039/40,25,83,False,83.85,91.59,94.86,90.94,76.21,91.18,93.69,85.84,76.15,52.73,68.69,65.84,70.38,69.74,66.3
age12-130363,2040-06-30,2040/41,26,85,True,85.52,92.47,95.53,92.21,78.05,92.22,94.48,87.31,77.91,54.04,70.15,66.57,70.93,70.49,67.22
age12-130363,2041-06-30,2041/42,27,86,True,86.85,93.22,96.05,93.19,79.6,93.0,95.06,88.43,79.35,55.18,71.3,67.15,71.36,71.13,67.94
age12-130363,2042-06-30,2042/43,28,87,False,87.91,93.81,96.47,94.03,80.98,93.7,95.57,89.44,80.74,56.31,72.41,67.7,71.78,71.71,68.63
age12-130363,2043-06-30,2043/44,29,87,False,88.93,94.34,96.84,94.7,82.33,94.35,96.06,90.41,82.14,57.44,73.62,68.31,72.23,72.31,69.39
age12-130363,2044-06-30,2044/45,30,88,True,89.92,94.87,97.19,95.3,83.63,94.9,96.47,91.24,83.44,58.52,74.74,68.87,72.65,72.93,70.09
age12-130363,2045-06-30,2045/46,31,89,True,90.79,95.36,97.57,95.95,84.82,95.44,96.85,92.04,84.65,59.71,75.87,69.44,73.08,73.54,70.79
age12-130363,2046-06-30,2046/47,32,89,False,91.48,95.72,97.86,96.39,85.77,95.88,97.16,92.73,85.7,60.78,76.86,69.93,73.45,74.07,71.41
age12-130363,2047-06-30,2047/48,33,90,True,92.07,96.01,98.13,96.7,86.58,96.18,97.41,93.19,86.4,61.58,77.88,70.44,73.83,74.56,72.05
age12-130363,2048-06-30,2048/49,34,90,True,92.64,96.31,98.38,96.96,87.33,96.45,97.65,93.61,87.08,62.36,78.74,70.87,74.15,75.05,72.59
age12-130363,2049-06-30,2049/50,35,91,True,93.04,96.53,98.61,97.22,87.92,96.68,97.85,93.97,87.68,63.05,79.5,71.25,74.44,75.43,73.06
age12-130363,2050-06-30,2050/51,36,91,True,93.04,96.53,98.61,97.22,87.92,96.68,97.85,93.97,87.68,63.05,79.5,71.25,74.44,75.43,73.06
age12-130363,2051-06-30,2051/52,37,91,True,93.04,96.53,98.61,97.22,87.92,96.68,97.85,93.97,87.68,63.05,79.5,71.25,74.44,75.43,73.06
age12-130363,2052-06-30,2052/53,38,91,True,93.04,96.53,98.61,97.22,87.92,96.68,97.85,93.97,87.68,63.05,79.5,71.25,74.44,75.43,73.06
age12-130363,2053-06-30,2053/54,39,91,False,93.04,96.53,98.61,97.22,87.92,96.68,97.85,93.97,87.68,63.05,79.5,71.25,74.44,75.43,73.06
age12-130363,2054-06-30,2054/55,40,91,False,93.04,96.53,98.61,97.22,87.92,96.68,97.85,93.97,87.68,63.05,79.5,71.25,74.44,75.43,73.06
age12-130363,2055-06-30,2055/56,41,91,False,92.23,95.65,97.7,96.73,87.52,96.68,97.85,93.97,87.68,63.05,78.01,70.47,73.13,74.56,71.8
age12-130363,2056-06-30,2056/57,42,90,False,91.23,94.58,96.58,96.13,87.02,96.68,97.85,93.97,87.68,63.05,76.22,69.52,71.56,73.5,70.29
age12-130363,2057-06-30,2057/58,43,89,False,90.04,93.3,95.25,95.41,86.43,96.68,97.85,93.97,87.68,63.05,74.15,68.41,69.74,72.25,68.53
age12-130363,2058-06-30,2058/59,44,88,True,88.67,91.83,93.71,94.56,85.73,96.68,97.85,93.97,87.68,63.05,71.82,67.12,67.68,70.81,66.54
age12-130363,2059-06-30,2059/60,45,87,True,87.1,90.15,91.96,93.58,84.93,96.68,97.85,93.97,87.68,63.05,69.25,65.66,65.4,69.19,64.33
age12-130363,2060-06-30,2060/61,46,86,False,85.34,88.26,89.99,92.46,84.0,96.68,97.85,93.97,87.68,63.05,66.46,64.03,62.91,67.38,61.93
age12-130363,2061-06-30,2061/62,47,85,False,83.39,86.18,87.83,91.2,82.97,96.59,97.77,93.93,87.68,63.04,63.52,62.25,60.27,65.41,59.37
age12-130363,2062-06-30,2062/63,48,83,False,81.27,83.91,85.48,89.81,81.81,96.4,97.57,93.86,87.68,63.01,60.44,60.33,57.5,63.29,56.68
age12-130363,2063-06-30,2063/64,49,82,False,78.98,81.47,82.94,88.27,80.54,96.08,97.24,93.74,87.68,62.95,57.27,58.28,54.63,61.03,53.9
age12-130363,2064-06-30,2064/65,50,80,False,76.52,78.85,80.23,86.58,79.13,95.6,96.75,93.56,87.68,62.87,54.04,56.1,51.69,58.64,51.03
age12-130363,2065-06-30,2065/66,51,79,False,73.9,76.07,77.35,84.74,77.59,94.91,96.05,93.29,87.68,62.75,50.78,53.82,48.7,56.15,48.12
age12-130363,2066-06-30,2066/67,52,76,False,71.14,73.14,74.32,82.74,75.91,94.0,95.11,92.94,87.68,62.59,47.51,51.43,45.7,53.55,45.19
age12-130363,2067-06-30,2067/68,53,75,False,68.23,70.07,71.15,80.57,74.09,92.82,93.9,92.48,87.68,62.38,44.27,48.96,42.7,50.87,42.26
age12-130363,2068-06-30,2068/69,54,72,False,65.2,66.87,67.85,78.25,72.13,91.32,92.37,91.88,87.68,62.11,41.08,46.42,39.73,48.13,39.35
age12-130363,2069-06-30,2069/70,55,71,False,62.48,64.0,64.94,76.26,70.35,89.68,90.68,91.3,87.86,62.02,38.22,43.98,36.93,45.51,36.66
age12-130363,2070-06-30,2070/71,56,68,False,59.23,60.59,61.43,73.6,68.09,87.45,88.4,90.38,87.86,61.59,35.18,41.37,34.09,42.71,33.87
age12-130363,2071-06-30,2071/72,57,66,False,56.38,57.61,58.43,71.4,66.06,85.36,86.25,89.57,88.1,61.42,32.5,38.86,31.43,40.05,31.3
age12-130363,2072-06-30,2072/73,58,64,False,53.31,54.42,55.27,69.05,63.81,83.11,83.93,88.66,88.33,61.18,29.87,36.31,28.83,37.34,28.79
age12-130363,2073-06-30,2073/74,59,62,False,50.13,51.1,51.91,66.28,61.33,80.63,81.4,87.61,88.54,60.85,27.29,33.73,26.29,34.61,26.32
age12-130363,2074-06-30,2074/75,60,59,False,46.86,47.68,48.45,63.27,58.65,77.87,78.6,86.35,88.72,60.37,24.84,31.17,23.86,31.9,23.96
age12-130363,2075-06-30,2075/76,61,57,False,43.55,44.25,44.95,60.07,55.77,74.9,75.6,84.95,88.93,59.83,22.43,28.58,21.51,29.21,21.64
age12-130363,2076-06-30,2076/77,62,54,False,40.19,40.81,41.51,56.86,52.75,71.78,72.41,83.44,89.16,59.22,20.18,26.08,19.32,26.6,19.48
age12-130363,2077-06-30,2077/78,63,51,False,36.94,37.46,38.13,53.45,49.64,68.42,69.01,81.74,89.37,58.46,18.13,23.72,17.3,24.14,17.49
age12-130363,2078-06-30,2078/79,64,49,False,33.81,34.25,34.87,49.95,46.48,64.86,65.41,79.84,89.56,57.57,16.25,21.48,15.46,21.82,15.67
age12-130363,2079-06-30,2079/80,65,46,False,30.8,31.16,31.74,46.43,43.27,61.15,61.65,77.75,89.76,56.54,14.5,19.35,13.75,19.64,13.98
age15-104729,2026-05-11,2026/27,15,63,False,56,67,66,49,55,61,65,58,63,50,56,64,72,67,61
age15-104729,2027-06-30,2027/28,16,66,False,59.59,71.14,70.92,54.88,58.0,65.82,69.83,62.21,66.34,52.56,58.02,65.01,72.76,68.21,62.26
age15-104729,2028-06-30,2028/29,17,69,False,62.73,74.33,75.11,59.34,60.74,69.57,73.9,65.48,69.03,54.51,60.22,66.11,73.58,69.29,63.64
age15-104729,2029-06-30,2029/30,18,73,False,67.22,78.81,80.55,65.03,64.38,74.48,79.15,69.81,72.36,57.14,62.81,67.41,74.55,70.82,65.26
age15-104729,2030-06-30,2030/31,19,76,False,70.87,82.36,84.61,70.11,67.42,78.71,83.32,73.5,75.28,59.39,65.19,68.59,75.44,72.06,66.74
age15-104729,2031-06-30,2031/32,20,79,False,74.43,85.36,87.76,75.3,70.35,82.98,86.8,77.47,78.34,61.77,67.53,69.76,76.32,73.26,68.2
age15-104729,2032-06-30,2032/33,21,81,False,76.95,87.06,89.44,78.29,72.36,85.1,88.57,79.82,80.25,63.17,69.25,70.63,76.97,74.1,69.28
age15-104729,2033-06-30,2033/34,22,83,True,79.34,88.65,90.96,81.61,74.33,87.09,90.18,82.21,82.15,64.67,70.64,71.32,77.49,74.9,70.15
age15-104729,2034-06-30,2034/35,23,85,True,81.38,89.86,92.16,84.41,76.11,88.69,91.43,84.14,83.69,66.08,72.01,72.01,78.01,75.62,71.01
age15-104729,2035-06-30,2035/36,24,86,False,82.89,90.7,92.97,86.18,77.53,89.81,92.32,85.54,84.83,67.19,73.12,72.56,78.42,76.19,71.7
age15-104729,2036-06-30,2036/37,25,87,True,84.32,91.51,93.71,87.76,78.97,90.77,93.08,86.72,85.82,68.24,74.3,73.15,78.86,76.79,72.44
age15-104729,2037-06-30,2037/38,26,88,True,85.76,92.33,94.39,89.09,80.45,91.57,93.73,87.74,86.7,69.24,75.42,73.71,79.28,77.42,73.14
age15-104729,2038-06-30,2038/39,27,88,True,86.82,92.94,94.93,90.3,81.7,92.39,94.36,88.79,87.62,70.32,76.34,74.17,79.63,77.95,73.71
age15-104729,2039-06-30,2039/40,28,89,True,87.8,93.48,95.44,91.39,82.92,93.15,94.95,89.79,88.54,71.39,77.44,74.72,80.04,78.48,74.4
age15-104729,2040-06-30,2040/41,29,90,True,88.73,93.96,95.84,92.12,83.97,93.68,95.38,90.49,89.19,72.22,78.41,75.2,80.4,79.01,75.01
age15-104729,2041-06-30,2041/42,30,91,True,89.47,94.38,96.17,92.76,84.83,94.13,95.74,91.09,89.74,73.01,79.21,75.6,80.69,79.46,75.5
age15-104729,2042-06-30,2042/43,31,91,True,90.06,94.71,96.45,93.31,85.57,94.54,96.06,91.66,90.25,73.78,79.95,75.97,80.96,79.86,75.97
age15-104729,2043-06-30,2043/44,32,92,True,90.65,95.05,96.73,93.9,86.29,94.95,96.36,92.2,90.74,74.61,80.79,76.4,81.26,80.28,76.5
age15-104729,2044-06-30,2044/45,33,92,True,91.24,95.37,96.97,94.38,86.99,95.29,96.63,92.67,91.19,75.36,81.57,76.82,81.55,80.7,77.02
age15-104729,2045-06-30,2045/46,34,92,True,91.78,95.68,97.23,94.88,87.66,95.64,96.89,93.14,91.66,76.16,82.29,77.21,81.82,81.11,77.52
age15-104729,2046-06-30,2046/47,35,93,True,92.27,95.95,97.46,95.31,88.29,95.98,97.15,93.63,92.12,77.03,82.92,77.57,82.07,81.51,77.97
age15-104729,2047-06-30,2047/48,36,93,True,92.27,95.95,97.46,95.31,88.29,95.98,97.15,93.63,92.12,77.03,82.92,77.57,82.07,81.51,77.97
age15-104729,2048-06-30,2048/49,37,93,True,92.27,95.95,97.46,95.31,88.29,95.98,97.15,93.63,92.12,77.03,82.92,77.57,82.07,81.51,77.97
age15-104729,2049-06-30,2049/50,38,93,True,92.27,95.95,97.46,95.31,88.29,95.98,97.15,93.63,92.12,77.03,82.92,77.57,82.07,81.51,77.97
age15-104729,2050-06-30,2050/51,39,93,False,92.27,95.95,97.46,95.31,88.29,95.98,97.15,93.63,92.12,77.03,82.92,77.57,82.07,81.51,77.97
age15-104729,2051-06-30,2051/52,40,93,False,92.27,95.95,97.46,95.31,88.29,95.98,97.15,93.63,92.12,77.03,82.92,77.57,82.07,81.51,77.97
age15-104729,2052-06-30,2052/53,41,92,False,91.6,95.23,96.71,94.91,87.96,95.98,97.15,93.63,92.12,77.03,81.56,76.8,80.74,80.66,76.77
age15-104729,2053-06-30,2053/54,42,92,False,90.78,94.34,95.8,94.43,87.54,95.98,97.15,93.63,92.12,77.03,79.94,75.87,79.15,79.62,75.33
age15-104729,2054-06-30,2054/55,43,91,False,89.81,93.29,94.71,93.85,87.04,95.98,97.15,93.63,92.12,77.03,78.05,74.76,77.3,78.4,73.65
age15-104729,2055-06-30,2055/56,44,90,False,88.67,92.07,93.45,93.17,86.46,95.98,97.15,93.63,92.12,77.03,75.91,73.49,75.2,77.0,71.75
age15-104729,2056-06-30,2056/57,45,90,False,87.38,90.67,92.02,92.38,85.78,95.98,97.15,93.63,92.12,77.03,73.54,72.04,72.88,75.42,69.64
age15-104729,2057-06-30,2057/58,46,88,False,85.93,89.1,90.4,91.49,85.01,95.98,97.15,93.63,92.12,77.03,70.97,70.44,70.35,73.66,67.32
age15-104729,2058-06-30,2058/59,47,87,False,84.32,87.38,88.62,90.49,84.14,95.92,97.08,93.61,92.12,77.01,68.22,68.68,67.65,71.74,64.86
age15-104729,2059-06-30,2059/60,48,86,False,82.56,85.49,86.68,89.37,83.18,95.77,96.93,93.55,92.12,76.97,65.35,66.79,64.82,69.67,62.26
age15-104729,2060-06-30,2060/61,49,85,True,80.65,83.44,84.58,88.14,82.12,95.51,96.66,93.45,92.12,76.91,62.36,64.76,61.88,67.46,59.55
age15-104729,2061-06-30,2061/62,50,84,True,78.6,81.25,82.32,86.8,80.95,95.13,96.27,93.31,92.12,76.81,59.29,62.61,58.86,65.13,56.75
age15-104729,2062-06-30,2062/63,51,82,False,76.41,78.9,79.92,85.32,79.67,94.59,95.72,93.1,92.12,76.67,56.17,60.35,55.79,62.68,53.89
age15-104729,2063-06-30,2063/64,52,80,False,74.08,76.42,77.37,83.73,78.27,93.88,94.99,92.82,92.12,76.48,53.02,57.98,52.68,60.13,50.99
age15-104729,2064-06-30,2064/65,53,79,False,71.62,73.8,74.68,82.0,76.76,92.95,94.05,92.46,92.12,76.24,49.87,55.53,49.57,57.5,48.08
age15-104729,2065-06-30,2065/66,54,76,False,69.03,71.06,71.87,80.13,75.13,91.79,92.86,92.0,92.12,75.92,46.74,53.01,46.48,54.79,45.17
age15-104729,2066-06-30,2066/67,55,74,False,66.34,68.2,68.95,78.14,73.37,90.36,91.39,91.43,92.12,75.53,43.65,50.43,43.42,52.03,42.28
age15-104729,2067-06-30,2067/68,56,72,False,63.54,65.24,65.93,76.0,71.49,88.63,89.62,90.72,92.12,75.05,40.62,47.8,40.42,49.24,39.44
age15-104729,2068-06-30,2068/69,57,70,False,60.6,62.15,62.77,73.69,69.45,86.73,87.68,89.92,92.12,74.5,37.62,45.1,37.45,46.37,36.61
age15-104729,2069-06-30,2069/70,58,68,False,57.54,58.92,59.48,71.2,67.23,84.64,85.54,89.02,92.12,73.88,34.67,42.34,34.53,43.45,33.82
age15-104729,2070-06-30,2070/71,59,66,False,54.83,56.07,56.66,69.15,65.24,82.76,83.62,88.27,92.27,73.48,32.1,39.72,31.8,40.68,31.28
age15-104729,2071-06-30,2071/72,60,64,False,52.05,53.18,53.78,66.96,63.11,80.76,81.57,87.44,92.42,73.02,29.57,37.08,29.17,37.93,28.8
age15-104729,2072-06-30,2072/73,61,62,False,49.09,50.09,50.73,64.56,60.75,78.58,79.33,86.48,92.57,72.43,27.1,34.44,26.62,35.16,26.38
age15-104729,2073-06-30,2073/74,62,60,False,46.14,47.02,47.67,62.0,58.28,76.28,77.0,85.44,92.71,71.78,24.78,31.87,24.23,32.49,24.1
age15-104729,2074-06-30,2074/75,63,57,False,43.26,44.02,44.69,59.34,55.74,73.77,74.47,84.26,92.85,71.0,22.68,29.45,22.06,29.97,22.02
age15-104729,2075-06-30,2075/76,64,55,False,40.46,41.12,41.75,56.57,53.15,71.14,71.8,82.98,92.98,70.13,20.69,27.13,20.04,27.58,20.07
age15-104729,2076-06-30,2076/77,65,53,False,37.66,38.24,38.86,53.73,50.47,68.37,69.0,81.6,93.11,69.15,18.84,24.93,18.17,25.31,18.26
age15-130363,2026-05-11,2026/27,15,63,False,56,67,66,49,55,61,65,58,63,50,56,64,72,67,61
age15-130363,2027-06-30,2027/28,16,66,False,59.57,71.09,70.85,54.75,57.98,65.81,69.85,62.22,66.36,52.54,58.0,65.0,72.75,68.2,62.25
age15-130363,2028-06-30,2028/29,17,69,False,62.68,74.14,74.78,58.7,60.67,69.44,73.89,65.44,68.99,54.41,60.15,66.08,73.56,69.26,63.59
age15-130363,2029-06-30,2029/30,18,73,False,67.18,78.61,80.22,64.42,64.3,74.38,79.13,69.77,72.32,57.04,62.74,67.37,74.53,70.79,65.21
age15-130363,2030-06-30,2030/31,19,76,False,71.17,82.69,85.0,70.76,67.69,79.28,83.74,73.97,75.63,59.65,65.33,68.67,75.5,72.17,66.83
age15-130363,2031-06-30,2031/32,20,80,True,74.95,85.73,88.13,75.78,70.78,83.35,87.09,77.84,78.68,61.99,67.77,69.88,76.41,73.45,68.36
