case,category,detail
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-career-match-count,"Elliot Vance: 42 matches, 11 wins, 55 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-season-match-count,"Elliot Vance: {""season"":""2034/35"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":107,""qTourRank"":420,""qSchoolRank"":207,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-career-match-count,"Elliot Vance: 46 matches, 11 wins, 61 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-season-match-count,"Elliot Vance: {""season"":""2035/36"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":209,""qTourRank"":421,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-career-match-count,"Elliot Vance: 50 matches, 11 wins, 67 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-season-match-count,"Elliot Vance: {""season"":""2036/37"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":204,""qTourRank"":426,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-career-match-count,"Elliot Vance: 54 matches, 11 wins, 73 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-season-match-count,"Elliot Vance: {""season"":""2037/38"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":208,""qTourRank"":427,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-career-match-count,"Elliot Vance: 58 matches, 11 wins, 79 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-season-match-count,"Elliot Vance: {""season"":""2038/39"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":201,""qTourRank"":431,""qSchoolRank"":null,""seniorRank"":66,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-career-match-count,"Elliot Vance: 64 matches, 11 wins, 87 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-season-match-count,"Elliot Vance: {""season"":""2039/40"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":105,""qTourRank"":426,""qSchoolRank"":201,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":17,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-career-match-count,"Elliot Vance: 70 matches, 11 wins, 95 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-season-match-count,"Elliot Vance: {""season"":""2040/41"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":98,""qTourRank"":424,""qSchoolRank"":208,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-career-match-count,"Elliot Vance: 4 matches, 2 wins, 4 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-season-match-count,"Elliot Vance: {""season"":""2026/27"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":350,""qTourRank"":437,""qSchoolRank"":null,""seniorRank"":6,""youthRank"":null,""matches"":4,""wins"":2,""losses"":4,""prizeMoney"":0,""rankingPoints"":2015,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-career-match-count,"Elliot Vance: 8 matches, 6 wins, 8 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-season-match-count,"Elliot Vance: {""season"":""2027/28"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":317,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":48,""youthRank"":null,""matches"":4,""wins"":4,""losses"":4,""prizeMoney"":0,""rankingPoints"":43,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-career-match-count,"Elliot Vance: 14 matches, 6 wins, 16 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-season-match-count,"Elliot Vance: {""season"":""2028/29"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":111,""qTourRank"":420,""qSchoolRank"":188,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":19,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-career-match-count,"Elliot Vance: 20 matches, 7 wins, 24 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-season-match-count,"Elliot Vance: {""season"":""2029/30"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":106,""qTourRank"":189,""qSchoolRank"":223,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":1,""losses"":8,""prizeMoney"":0,""rankingPoints"":842,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-career-match-count,"Elliot Vance: 24 matches, 7 wins, 30 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-season-match-count,"Elliot Vance: {""season"":""2030/31"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":217,""qTourRank"":429,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":7,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-career-match-count,"Elliot Vance: 28 matches, 7 wins, 36 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-season-match-count,"Elliot Vance: {""season"":""2031/32"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":214,""qTourRank"":423,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-career-match-count,"Elliot Vance: 32 matches, 7 wins, 42 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-season-match-count,"Elliot Vance: {""season"":""2032/33"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":207,""qTourRank"":422,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-career-match-count,"Elliot Vance: 36 matches, 7 wins, 48 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-season-match-count,"Elliot Vance: {""season"":""2033/34"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":209,""qTourRank"":419,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-career-match-count,"Elliot Vance: 42 matches, 7 wins, 56 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-season-match-count,"Elliot Vance: {""season"":""2034/35"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":106,""qTourRank"":423,""qSchoolRank"":208,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-career-match-count,"Elliot Vance: 46 matches, 7 wins, 62 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-season-match-count,"Elliot Vance: {""season"":""2035/36"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":214,""qTourRank"":422,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-career-match-count,"Elliot Vance: 50 matches, 7 wins, 68 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-season-match-count,"Elliot Vance: {""season"":""2036/37"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":207,""qTourRank"":422,""qSchoolRank"":null,""seniorRank"":66,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-career-match-count,"Elliot Vance: 54 matches, 7 wins, 74 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-season-match-count,"Elliot Vance: {""season"":""2037/38"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":202,""qTourRank"":417,""qSchoolRank"":null,""seniorRank"":66,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-career-match-count,"Elliot Vance: 58 matches, 7 wins, 80 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-season-match-count,"Elliot Vance: {""season"":""2038/39"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":206,""qTourRank"":426,""qSchoolRank"":null,""seniorRank"":66,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
